Tool,Provider,Algorithm_ID,Display_Name,Group
QGIS,native,native:difference,Difference,Vector overlay
QGIS,native,native:dissolve,Dissolve,Vector geometry
QGIS,native,native:downloadgpsdata,Download GPS data from device,GPS
QGIS,native,native:downloadvectortiles,Download vector tiles,Vector tiles
QGIS,native,native:dropgeometries,Drop geometries,Vector general
QGIS,native,native:dropmzvalues,Drop M/Z values,Vector geometry
QGIS,native,native:dtmslopebasedfilter,DTM filter (slope-based),Raster terrain analysis
QGIS,native,native:dxfexport,Export layers to DXF,Vector general
QGIS,native,native:equaltofrequency,Equal to frequency,Raster analysis
QGIS,native,native:explodehstorefield,Explode HStore Field,Vector table
QGIS,native,native:explodelines,Explode lines,Vector geometry
QGIS,native,native:exportlayermetadata,Export layer metadata,Metadata tools
QGIS,native,native:exportlayersinformation,Export layer(s) information,Layer tools
QGIS,native,native:exportmeshedges,Export mesh edges,Mesh
QGIS,native,native:exportmeshfaces,Export mesh faces,Mesh
QGIS,native,native:exportmeshongrid,Export mesh on grid,Mesh
QGIS,native,native:exportmeshvertices,Export mesh vertices,Mesh
QGIS,native,native:exporttospreadsheet,Export to spreadsheet,Layer tools
QGIS,native,native:extendlines,Extend lines,Vector geometry
QGIS,native,native:extenttolayer,Create layer from extent,Vector geometry
QGIS,native,native:extractbinary,Extract binary field,Vector table
QGIS,native,native:extractbyattribute,Extract by attribute,Vector selection
QGIS,native,native:extractbyexpression,Extract by expression,Vector selection
QGIS,native,native:extractbyextent,Extract/clip by extent,Vector overlay
QGIS,native,native:extractbylocation,Extract by location,Vector selection
QGIS,native,native:extractlabels,Extract labels,Cartography
QGIS,native,native:extractmvalues,Extract M values,Vector geometry
QGIS,native,native:extractspecificvertices,Extract specific vertices,Vector geometry
QGIS,native,native:extractvertices,Extract vertices,Vector geometry
QGIS,native,native:extractwithindistance,Extract within distance,Vector selection
QGIS,native,native:extractzvalues,Extract Z values,Vector geometry
QGIS,native,native:fieldcalculator,Field calculator,Vector table
QGIS,native,native:filedownloader,Download file via HTTP(S),File tools
QGIS,native,native:fillnodata,Fill NoData cells,Raster tools
QGIS,native,native:filter,Feature filter,Modeler tools
QGIS,native,native:filterbygeometry,Filter by geometry type,Vector selection
QGIS,native,native:filterlayersbytype,Filter layers by type,Modeler tools
QGIS,native,native:filterverticesbym,Filter vertices by M value,Vector geometry
QGIS,native,native:filterverticesbyz,Filter vertices by Z value,Vector geometry
QGIS,native,native:fixgeometries,Fix geometries,Vector geometry
QGIS,native,native:fixgeometryangle,Fix geometry (Angle),Fix geometry
QGIS,native,native:fixgeometryarea,Fix geometry (Area),Fix geometry
QGIS,native,native:fixgeometryhole,Fix geometry (Hole),Fix geometry
QGIS,native,native:fixgeometrymissingvertex,Fix geometry (Missing Vertex),Fix geometry
QGIS,native,native:flattenrelationships,Flatten relationship,Vector general
QGIS,native,native:forcerhr,Force right-hand-rule,Vector geometry
QGIS,native,native:fuzzifyrastergaussianmembership,Fuzzify raster (gaussian membership),Raster analysis
QGIS,native,native:fuzzifyrasterlargemembership,Fuzzify raster (large membership),Raster analysis
QGIS,native,native:fuzzifyrasterlinearmembership,Fuzzify raster (linear membership),Raster analysis
QGIS,native,native:fuzzifyrasternearmembership,Fuzzify raster (near membership),Raster analysis
QGIS,native,native:fuzzifyrasterpowermembership,Fuzzify raster (power membership),Raster analysis
QGIS,native,native:fuzzifyrastersmallmembership,Fuzzify raster (small membership),Raster analysis
QGIS,native,native:generateelevationprofileimage,Generate elevation profile image,Plots
QGIS,native,native:generatepointspixelcentroidsinsidepolygons,Generate points (pixel centroids) inside polygons,Vector creation
QGIS,native,native:geometrybyexpression,Geometry by expression,Vector geometry
QGIS,native,native:gltftovector,Convert GLTF to vector features,3D Tiles
QGIS,native,native:greaterthanfrequency,Greater than frequency,Raster analysis
QGIS,native,native:highestpositioninrasterstack,Highest position in raster stack,Raster analysis
QGIS,native,native:hillshade,Hillshade,Raster terrain analysis
QGIS,native,native:httprequest,HTTP(S) POST/GET request,File tools
QGIS,native,native:hublines,Join by lines (hub lines),Vector analysis
QGIS,native,native:importintopostgis,Export to PostgreSQL,Database
QGIS,native,native:importphotos,Import geotagged photos,Vector creation
QGIS,native,native:interpolatepoint,Interpolate point on line,Vector geometry
QGIS,native,native:intersection,Intersection,Vector overlay
QGIS,native,native:joinattributesbylocation,Join attributes by location,Vector general
QGIS,native,native:joinattributestable,Join attributes by field value,Vector general
QGIS,native,native:joinbylocationsummary,Join attributes by location (summary),Vector general
QGIS,native,native:joinbynearest,Join attributes by nearest,Vector general
QGIS,native,native:keepnbiggestparts,Keep N biggest parts,Vector geometry
QGIS,native,native:kmeansclustering,K-means clustering,Vector analysis
QGIS,native,native:layertobookmarks,Convert layer to spatial bookmarks,Vector general
QGIS,native,native:lessthanfrequency,Less than frequency,Raster analysis
QGIS,native,native:linedensity,Line density,Interpolation
QGIS,native,native:lineintersections,Line intersections,Vector overlay
QGIS,native,native:linesubstring,Line substring,Vector geometry
QGIS,native,native:loadlayer,Load layer into project,Modeler tools
QGIS,native,native:lowestpositioninrasterstack,Lowest position in raster stack,Raster analysis
QGIS,native,native:meancoordinates,Mean coordinate(s),Vector analysis
QGIS,native,native:mergelines,Merge lines,Vector geometry
QGIS,native,native:mergevectorlayers,Merge vector layers,Vector general
QGIS,native,native:meshcontours,Export contours,Mesh
QGIS,native,native:meshexportcrosssection,Export cross section dataset values on lines from mesh,Mesh
QGIS,native,native:meshexporttimeseries,Export time series values from points of a mesh dataset,Mesh
QGIS,native,native:meshrasterize,Rasterize mesh dataset,Mesh
QGIS,native,native:minimumenclosingcircle,Minimum enclosing circles,Vector geometry
QGIS,native,native:modelerrastercalc,Raster calculator,Raster analysis
QGIS,native,native:modelervirtualrastercalc,Raster calculator (virtual),Raster analysis
QGIS,native,native:multidifference,Difference (multiple),Vector overlay
QGIS,native,native:multiintersection,Intersection (multiple),Vector overlay
QGIS,native,native:multiparttosingleparts,Multipart to singleparts,Vector geometry
QGIS,native,native:multiringconstantbuffer,Multi-ring buffer (constant distance),Vector geometry
QGIS,native,native:multiunion,Union (multiple),Vector overlay
QGIS,native,native:nearestneighbouranalysis,Nearest neighbour analysis,Vector analysis
QGIS,native,native:offsetline,Offset lines,Vector geometry
QGIS,native,native:openurl,Open file or URL,File tools
QGIS,native,native:orderbyexpression,Order by expression,Vector general
QGIS,native,native:orientedminimumboundingbox,Oriented minimum bounding box,Vector geometry
QGIS,native,native:orthogonalize,Orthogonalize,Vector geometry
QGIS,native,native:package,Package layers,Database
QGIS,native,native:pixelstopoints,Raster pixels to points,Vector creation
QGIS,native,native:pixelstopolygons,Raster pixels to polygons,Vector creation
QGIS,native,native:pointonsurface,Point on surface,Vector geometry
QGIS,native,native:pointsalonglines,Points along geometry,Vector geometry
QGIS,native,native:pointstopath,Points to path,Vector creation
QGIS,native,native:pointtolayer,Create layer from point,Vector geometry
QGIS,native,native:poleofinaccessibility,Pole of inaccessibility,Vector geometry
QGIS,native,native:polygonfromlayerextent,Extract layer extent,Layer tools
QGIS,native,native:polygonize,Polygonize,Vector geometry
QGIS,native,native:polygonstolines,Polygons to lines,Vector geometry
QGIS,native,native:postgisexecutesql,PostgreSQL execute SQL,Database
QGIS,native,native:printlayoutmapextenttolayer,Print layout map extent to layer,Cartography
QGIS,native,native:printlayouttoimage,Export print layout as image,Cartography
QGIS,native,native:printlayouttopdf,Export print layout as PDF,Cartography
QGIS,native,native:projectpointcartesian,Project points (Cartesian),Vector geometry
QGIS,native,native:promotetomulti,Promote to multipart,Vector geometry
QGIS,native,native:raiseexception,Raise exception,Modeler tools
QGIS,native,native:raisemessage,Raise message,Modeler tools
QGIS,native,native:raisewarning,Raise warning,Modeler tools
QGIS,native,native:randomextract,Random extract,Vector selection
QGIS,native,native:randompointsinextent,Random points in extent,Vector creation
QGIS,native,native:randompointsinpolygons,Random points in polygons,Vector creation
QGIS,native,native:randompointsonlines,Random points on lines,Vector creation
QGIS,native,native:rasterbooleanand,Raster boolean AND,Raster analysis
QGIS,native,native:rastercalc,Raster calculator,Raster analysis
QGIS,native,native:rasterize,Convert map to raster,Raster tools
QGIS,native,native:rasterlayerproperties,Raster layer properties,Raster analysis
QGIS,native,native:rasterlayerstatistics,Raster layer statistics,Raster analysis
QGIS,native,native:rasterlayeruniquevaluesreport,Raster layer unique values report,Raster analysis
QGIS,native,native:rasterlayerzonalstats,Raster layer zonal statistics,Raster analysis
QGIS,native,native:rasterlogicalor,Raster boolean OR,Raster analysis
QGIS,native,native:rasterminmax,Raster minimum/maximum,Raster analysis
QGIS,native,native:rastersampling,Sample raster values,Raster analysis
QGIS,native,native:rastersurfacevolume,Raster surface volume,Raster analysis
QGIS,native,native:reclassifybylayer,Reclassify by layer,Raster analysis
QGIS,native,native:reclassifybytable,Reclassify by table,Raster analysis
QGIS,native,native:rectanglesovalsdiamonds,"Rectangles, ovals, diamonds",Vector geometry
QGIS,native,native:refactorfields,Refactor fields,Vector table
QGIS,native,native:removeduplicatesbyattribute,Delete duplicates by attribute,Vector general
QGIS,native,native:removeduplicatevertices,Remove duplicate vertices,Vector geometry
QGIS,native,native:removenullgeometries,Remove null geometries,Vector geometry
QGIS,native,native:renamelayer,Rename layer,Modeler tools
QGIS,native,native:renametablefield,Rename field,Vector table
QGIS,native,native:repairshapefile,Repair Shapefile,Vector general
QGIS,native,native:reprojectlayer,Reproject layer,Vector general
QGIS,native,native:rescaleraster,Rescale raster,Raster analysis
QGIS,native,native:retainfields,Retain fields,Vector table
QGIS,native,native:reverselinedirection,Reverse line direction,Vector geometry
QGIS,native,native:rotatefeatures,Rotate,Vector geometry
QGIS,native,native:roundness,Roundness,Vector geometry
QGIS,native,native:roundrastervalues,Round raster,Raster analysis
QGIS,native,native:ruggednessindex,Ruggedness index,Raster terrain analysis
QGIS,native,native:savefeatures,Save vector features to file,Vector general
QGIS,native,native:savelog,Save log to file,Modeler tools
QGIS,native,native:saveselectedfeatures,Extract selected features,Vector general
QGIS,native,native:segmentizebymaxangle,Segmentize by maximum angle,Vector geometry
QGIS,native,native:segmentizebymaxdistance,Segmentize by maximum distance,Vector geometry
QGIS,native,native:selectbylocation,Select by location,Vector selection
QGIS,native,native:selectwithindistance,Select within distance,Vector selection
QGIS,native,native:serviceareafromlayer,Service area (from layer),Network analysis
QGIS,native,native:serviceareafrompoint,Service area (from point),Network analysis
QGIS,native,native:setlayerencoding,Set layer encoding,Vector general
QGIS,native,native:setlayermetadata,Set layer metadata,Metadata tools
QGIS,native,native:setlayerstyle,Set layer style,Cartography
QGIS,native,native:setmetadatafields,Set metadata fields,Metadata tools
QGIS,native,native:setmfromraster,Set M value from raster,Vector geometry
QGIS,native,native:setmvalue,Set M value,Vector geometry
QGIS,native,native:setprojectvariable,Set project variable,Modeler tools
QGIS,native,native:setzfromraster,Drape (set Z value from raster),Vector geometry
QGIS,native,native:setzvalue,Set Z value,Vector geometry
QGIS,native,native:shortestline,Shortest line between features,Vector analysis
QGIS,native,native:shortestpathlayertopoint,Shortest path (layer to point),Network analysis
QGIS,native,native:shortestpathpointtolayer,Shortest path (point to layer),Network analysis
QGIS,native,native:shortestpathpointtopoint,Shortest path (point to point),Network analysis
QGIS,native,native:shpencodinginfo,Extract Shapefile encoding,Vector general
QGIS,native,native:simplifygeometries,Simplify,Vector geometry
QGIS,native,native:singlesidedbuffer,Single sided buffer,Vector geometry
QGIS,native,native:slope,Slope,Raster terrain analysis
QGIS,native,native:smoothgeometry,Smooth,Vector geometry
QGIS,native,native:snapgeometries,Snap geometries to layer,Vector geometry
QGIS,native,native:snappointstogrid,Snap points to grid,Vector geometry
QGIS,native,native:spatialiteexecutesql,SpatiaLite execute SQL,Database
QGIS,native,native:spatialiteexecutesqlregistered,SpatiaLite execute SQL (registered DB),Database
QGIS,native,native:splitfeaturesbycharacter,Split features by character,Vector general
QGIS,native,native:splitlinesbylength,Split lines by maximum length,Vector geometry
QGIS,native,native:splitvectorlayer,Split vector layer,Vector general
QGIS,native,native:splitwithlines,Split with lines,Vector overlay
QGIS,native,native:stdbscanclustering,ST-DBSCAN clustering,Vector analysis
QGIS,native,native:stringconcatenation,String concatenation,Modeler tools
QGIS,native,native:stylefromproject,Create style database from project,Cartography
QGIS,native,native:subdivide,Subdivide,Vector geometry
QGIS,native,native:sumlinelengths,Sum line lengths,Vector analysis
QGIS,native,native:surfacetopolygon,Surface to polygon,Mesh
QGIS,native,native:swapxy,Swap X and Y coordinates,Vector geometry
QGIS,native,native:symmetricaldifference,Symmetrical difference,Vector overlay
QGIS,native,native:taperedbuffer,Tapered buffers,Vector geometry
QGIS,native,native:tilesxyzdirectory,Generate XYZ tiles (Directory),Raster tools
QGIS,native,native:tilesxyzmbtiles,Generate XYZ tiles (MBTiles),Raster tools
QGIS,native,native:tinmeshcreation,TIN Mesh Creation,Mesh
QGIS,native,native:transect,Transect,Vector geometry
QGIS,native,native:transferannotationsfrommain,Transfer annotations from main layer,Cartography
QGIS,native,native:translategeometry,Translate,Vector geometry
QGIS,native,native:truncatetable,Truncate table,Vector general
QGIS,native,native:union,Union,Vector overlay
QGIS,native,native:updatelayermetadata,Update layer metadata,Metadata tools
QGIS,native,native:uploadgpsdata,Upload GPS data to device,GPS
QGIS,native,native:virtualrastercalc,Raster calculator (virtual),Raster analysis
QGIS,native,native:voronoipolygons,Voronoi polygons,Vector geometry
QGIS,native,native:wedgebuffers,Create wedge buffers,Vector geometry
QGIS,native,native:writevectortiles_mbtiles,Write Vector Tiles (MBTiles),Vector tiles
QGIS,native,native:writevectortiles_xyz,Write Vector Tiles (XYZ),Vector tiles
QGIS,native,native:zonalhistogram,Zonal histogram,Raster analysis
QGIS,native,native:zonalminmaxpoint,Zonal minimum/maximum point,Raster analysis
QGIS,native,native:zonalstatistics,Zonal statistics (in place),Raster analysis
QGIS,native,native:zonalstatisticsfb,Zonal statistics,Raster analysis
QGIS,qgis,qgis:advancedpythonfieldcalculator,Advanced Python field calculator,Vector table
QGIS,qgis,qgis:barplot,Bar plot,Plots
QGIS,qgis,qgis:boxplot,Box plot,Plots
QGIS,qgis,qgis:checkvalidity,Check validity,Vector geometry
QGIS,qgis,qgis:climbalongline,Climb along line,Vector analysis
QGIS,qgis,qgis:convertgeometrytype,Convert geometry type,Vector geometry
QGIS,qgis,qgis:definecurrentprojection,Define Shapefile projection,Vector general
QGIS,qgis,qgis:distancematrix,Distance matrix,Vector analysis
QGIS,qgis,qgis:distancetonearesthublinetohub,Distance to nearest hub (line to hub),Vector analysis
QGIS,qgis,qgis:distancetonearesthubpoints,Distance to nearest hub (points),Vector analysis
QGIS,qgis,qgis:eliminateselectedpolygons,Eliminate selected polygons,Vector geometry
QGIS,qgis,qgis:executesql,Execute SQL,Vector general
QGIS,qgis,qgis:exportaddgeometrycolumns,Add geometry attributes,Vector geometry
QGIS,qgis,qgis:findprojection,Find projection,Vector general
QGIS,qgis,qgis:generatepointspixelcentroidsalongline,Generate points (pixel centroids) along line,Vector creation
QGIS,qgis,qgis:heatmapkerneldensityestimation,Heatmap (Kernel Density Estimation),Interpolation
QGIS,qgis,qgis:hypsometriccurves,Hypsometric curves,Raster terrain analysis
QGIS,qgis,qgis:idwinterpolation,IDW interpolation,Interpolation
QGIS,qgis,qgis:importintospatialite,Export to SpatiaLite,Database
QGIS,qgis,qgis:knearestconcavehull,Concave hull (k-nearest neighbor),Vector geometry
QGIS,qgis,qgis:linestopolygons,Lines to polygons,Vector geometry
QGIS,qgis,qgis:listuniquevalues,List unique values,Vector analysis
QGIS,qgis,qgis:meanandstandarddeviationplot,Mean and standard deviation plot,Plots
QGIS,qgis,qgis:minimumboundinggeometry,Minimum bounding geometry,Vector geometry
QGIS,qgis,qgis:pointsdisplacement,Points displacement,Vector geometry
QGIS,qgis,qgis:polarplot,Polar plot,Plots
QGIS,qgis,qgis:postgisexecuteandloadsql,PostgreSQL execute and load SQL,Database
QGIS,qgis,qgis:randomextractwithinsubsets,Random extract within subsets,Vector selection
QGIS,qgis,qgis:randompointsalongline,Random points along line,Vector creation
QGIS,qgis,qgis:randompointsinlayerbounds,Random points in layer bounds,Vector creation
QGIS,qgis,qgis:randompointsinsidepolygons,Random points inside polygons,Vector creation
QGIS,qgis,qgis:randomselection,Random selection,Vector selection
QGIS,qgis,qgis:randomselectionwithinsubsets,Random selection within subsets,Vector selection
QGIS,qgis,qgis:rastercalculator,Raster calculator,Raster analysis
QGIS,qgis,qgis:rasterlayerhistogram,Raster layer histogram,Plots
QGIS,qgis,qgis:rectanglesovalsdiamondsvariable,"Rectangles, ovals, diamonds (variable)",Vector geometry
QGIS,qgis,qgis:regularpoints,Regular points,Vector creation
QGIS,qgis,qgis:relief,Relief,Raster terrain analysis
QGIS,qgis,qgis:scatter3dplot,Vector layer scatterplot 3D,Plots
QGIS,qgis,qgis:selectbyattribute,Select by attribute,Vector selection
QGIS,qgis,qgis:selectbyexpression,Select by expression,Vector selection
QGIS,qgis,qgis:setstyleforrasterlayer,Set style for raster layer,Raster tools
QGIS,qgis,qgis:setstyleforvectorlayer,Set style for vector layer,Vector general
QGIS,qgis,qgis:statisticsbycategories,Statistics by categories,Vector analysis
QGIS,qgis,qgis:texttofloat,Text to float,Vector table
QGIS,qgis,qgis:tininterpolation,TIN interpolation,Interpolation
QGIS,qgis,qgis:topologicalcoloring,Topological coloring,Cartography
QGIS,qgis,qgis:variabledistancebuffer,Variable distance buffer,Vector geometry
QGIS,qgis,qgis:vectorlayerhistogram,Vector layer histogram,Plots
QGIS,qgis,qgis:vectorlayerscatterplot,Vector layer scatterplot,Plots
